lemma_bw,count
'aAmana,537
mu&omin,202
<iyma`n,45
m~u&omina`t,22
>amina,20
>amiyn,14
'aAminiyn,10
'aAmin,6
m~u&ominap,6
>amon,5
>ama`na`t,4
>ama`nat,2
>amanap,2
'aAminap,1
ma>oman,1
ma>omuwn,1
{&otumina,1
