construction,count
bare_or_other,230
bi,163
verse_final_or_no_next,45
other_prep:lA,26
an_clause,21
li,18
other_prep:mn,12
other_prep:k,5
other_prep:ElY,3
other_prep:HtY,3
other_prep:fY,2
other_prep:mA,2
other_prep:<lY,1
other_prep:Ely,1
other_prep:fY^,1
other_prep:hm,1
other_prep:mn[,1
other_prep:yhwd,1
other_prep:{llh,1
