surah,ayah,tanzil_word_count,qac_word_count,delta_tanzil_minus_qac,status,qac_to_tanzil_word_offset
76,9,10,10,0,count_match,0
76,10,7,7,0,count_match,0
76,11,8,8,0,count_match,0
76,12,5,5,0,count_match,0
76,13,10,10,0,count_match,0
76,14,6,6,0,count_match,0
76,15,8,8,0,count_match,0
76,16,5,5,0,count_match,0
76,17,6,6,0,count_match,0
76,18,4,4,0,count_match,0
76,19,9,9,0,count_match,0
76,20,7,7,0,count_match,0
76,21,13,13,0,count_match,0
76,22,8,8,0,count_match,0
76,23,6,6,0,count_match,0
76,24,9,9,0,count_match,0
76,25,5,5,0,count_match,0
76,26,7,7,0,count_match,0
76,27,8,8,0,count_match,0
76,28,9,9,0,count_match,0
76,29,9,9,0,count_match,0
76,30,11,11,0,count_match,0
76,31,10,10,0,count_match,0
77,1,6,2,4,basmala_offset,4
77,2,2,2,0,count_match,0
77,3,2,2,0,count_match,0
77,4,2,2,0,count_match,0
77,5,2,2,0,count_match,0
77,6,3,3,0,count_match,0
77,7,3,3,0,count_match,0
77,8,3,3,0,count_match,0
77,9,3,3,0,count_match,0
77,10,3,3,0,count_match,0
77,11,3,3,0,count_match,0
77,12,3,3,0,count_match,0
77,13,2,2,0,count_match,0
77,14,5,5,0,count_match,0
77,15,3,3,0,count_match,0
77,16,3,3,0,count_match,0
77,17,3,3,0,count_match,0
77,18,3,3,0,count_match,0
77,19,3,3,0,count_match,0
77,20,5,5,0,count_match,0
77,21,4,4,0,count_match,0
77,22,3,3,0,count_match,0
77,23,3,3,0,count_match,0
77,24,3,3,0,count_match,0
77,25,4,4,0,count_match,0
77,26,2,2,0,count_match,0
77,27,7,7,0,count_match,0
77,28,3,3,0,count_match,0
77,29,6,6,0,count_match,0
77,30,6,6,0,count_match,0
77,31,6,6,0,count_match,0
77,32,4,4,0,count_match,0
77,33,3,3,0,count_match,0
77,34,3,3,0,count_match,0
77,35,4,4,0,count_match,0
77,36,4,4,0,count_match,0
77,37,3,3,0,count_match,0
77,38,5,5,0,count_match,0
77,39,5,5,0,count_match,0
77,40,3,3,0,count_match,0
77,41,5,5,0,count_match,0
77,42,3,3,0,count_match,0
77,43,6,6,0,count_match,0
77,44,4,4,0,count_match,0
77,45,3,3,0,count_match,0
77,46,5,5,0,count_match,0
77,47,3,3,0,count_match,0
77,48,6,6,0,count_match,0
77,49,3,3,0,count_match,0
77,50,4,4,0,count_match,0
78,1,6,2,4,basmala_offset,4
78,2,3,3,0,count_match,0
78,3,4,4,0,count_match,0
78,4,2,2,0,count_match,0
78,5,3,3,0,count_match,0
78,6,4,4,0,count_match,0
78,7,2,2,0,count_match,0
78,8,2,2,0,count_match,0
78,9,3,3,0,count_match,0
78,10,3,3,0,count_match,0
78,11,3,3,0,count_match,0
78,12,4,4,0,count_match,0
78,13,3,3,0,count_match,0
78,14,5,5,0,count_match,0
78,15,4,4,0,count_match,0
78,16,2,2,0,count_match,0
78,17,5,5,0,count_match,0
78,18,6,6,0,count_match,0
78,19,4,4,0,count_match,0
78,20,4,4,0,count_match,0
78,21,4,4,0,count_match,0
78,22,2,2,0,count_match,0
78,23,3,3,0,count_match,0
78,24,6,6,0,count_match,0
78,25,3,3,0,count_match,0
78,26,2,2,0,count_match,0
78,27,5,5,0,count_match,0
78,28,3,3,0,count_match,0
78,29,4,4,0,count_match,0
78,30,5,5,0,count_match,0
78,31,3,3,0,count_match,0
78,32,2,2,0,count_match,0
78,33,2,2,0,count_match,0
78,34,2,2,0,count_match,0
78,35,6,6,0,count_match,0
78,36,5,5,0,count_match,0
78,37,10,10,0,count_match,0
78,38,14,14,0,count_match,0
78,39,9,9,0,count_match,0
78,40,15,15,0,count_match,0
79,1,6,2,4,basmala_offset,4
79,2,2,2,0,count_match,0
79,3,2,2,0,count_match,0
79,4,2,2,0,count_match,0
79,5,2,2,0,count_match,0
79,6,3,3,0,count_match,0
79,7,2,2,0,count_match,0
79,8,3,3,0,count_match,0
79,9,2,2,0,count_match,0
79,10,5,5,0,count_match,0
79,11,4,4,0,count_match,0
79,12,5,5,0,count_match,0
79,13,4,4,0,count_match,0
79,14,3,3,0,count_match,0
79,15,4,4,0,count_match,0
79,16,6,6,0,count_match,0
79,17,5,5,0,count_match,0
79,18,6,6,0,count_match,0
79,19,4,4,0,count_match,0
79,20,3,3,0,count_match,0
79,21,2,2,0,count_match,0
79,22,3,3,0,count_match,0
79,23,2,2,0,count_match,0
79,24,4,4,0,count_match,0
79,25,5,5,0,count_match,0
79,26,6,6,0,count_match,0
79,27,6,6,0,count_match,0
79,28,3,3,0,count_match,0
79,29,4,4,0,count_match,0
79,30,4,4,0,count_match,0
79,31,4,4,0,count_match,0
79,32,2,2,0,count_match,0
79,33,3,3,0,count_match,0
79,34,4,4,0,count_match,0
79,35,5,5,0,count_match,0
79,36,4,4,0,count_match,0
79,37,3,3,0,count_match,0
79,38,3,3,0,count_match,0
79,39,4,4,0,count_match,0
79,40,9,9,0,count_match,0
79,41,4,4,0,count_match,0
79,42,5,5,0,count_match,0
79,43,4,4,0,count_match,0
79,44,3,3,0,count_match,0
79,45,5,5,0,count_match,0
79,46,9,9,0,count_match,0
80,1,6,2,4,basmala_offset,4
80,2,3,3,0,count_match,0
80,3,4,4,0,count_match,0
80,4,4,4,0,count_match,0
80,5,3,3,0,count_match,0
80,6,3,3,0,count_match,0
80,7,4,4,0,count_match,0
80,8,4,4,0,count_match,0
80,9,2,2,0,count_match,0
80,10,3,3,0,count_match,0
80,11,3,3,0,count_match,0
80,12,3,3,0,count_match,0
80,13,3,3,0,count_match,0
80,14,2,2,0,count_match,0
80,15,2,2,0,count_match,0
80,16,2,2,0,count_match,0
80,17,4,4,0,count_match,0
80,18,4,4,0,count_match,0
80,19,4,4,0,count_match,0
80,20,3,3,0,count_match,0
80,21,3,3,0,count_match,0
80,22,4,4,0,count_match,0
80,23,5,5,0,count_match,0
80,24,4,4,0,count_match,0
80,25,4,4,0,count_match,0
80,26,4,4,0,count_match,0
80,27,3,3,0,count_match,0
80,28,2,2,0,count_match,0
80,29,2,2,0,count_match,0
80,30,2,2,0,count_match,0
80,31,2,2,0,count_match,0
80,32,3,3,0,count_match,0
80,33,3,3,0,count_match,0
80,34,5,5,0,count_match,0
80,35,2,2,0,count_match,0
80,36,2,2,0,count_match,0
80,37,6,6,0,count_match,0
80,38,3,3,0,count_match,0
80,39,2,2,0,count_match,0
80,40,4,4,0,count_match,0
80,41,2,2,0,count_match,0
80,42,4,4,0,count_match,0
81,1,7,3,4,basmala_offset,4
81,2,3,3,0,count_match,0
81,3,3,3,0,count_match,0
81,4,3,3,0,count_match,0
81,5,3,3,0,count_match,0
81,6,3,3,0,count_match,0
81,7,3,3,0,count_match,0
81,8,3,3,0,count_match,0
81,9,3,3,0,count_match,0
81,10,3,3,0,count_match,0
81,11,3,3,0,count_match,0
81,12,3,3,0,count_match,0
81,13,3,3,0,count_match,0
81,14,4,4,0,count_match,0
81,15,3,3,0,count_match,0
81,16,2,2,0,count_match,0
81,17,3,3,0,count_match,0
81,18,3,3,0,count_match,0
81,19,4,4,0,count_match,0
81,20,6,6,0,count_match,0
81,21,3,3,0,count_match,0
81,22,3,3,0,count_match,0
81,23,4,4,0,count_match,0
81,24,5,5,0,count_match,0
81,25,5,5,0,count_match,0
81,26,2,2,0,count_match,0
81,27,5,5,0,count_match,0
81,28,5,5,0,count_match,0
81,29,8,8,0,count_match,0
82,1,7,3,4,basmala_offset,4
82,2,3,3,0,count_match,0
82,3,3,3,0,count_match,0
82,4,3,3,0,count_match,0
82,5,5,5,0,count_match,0
82,6,6,6,0,count_match,0
82,7,4,4,0,count_match,0
82,8,6,6,0,count_match,0
82,9,4,4,0,count_match,0
82,10,3,3,0,count_match,0
82,11,2,2,0,count_match,0
82,12,3,3,0,count_match,0
82,13,4,4,0,count_match,0
82,14,4,4,0,count_match,0
82,15,3,3,0,count_match,0
82,16,4,4,0,count_match,0
82,17,5,5,0,count_match,0
82,18,6,6,0,count_match,0
82,19,9,9,0,count_match,0
83,1,6,2,4,basmala_offset,4
83,2,6,6,0,count_match,0
83,3,5,5,0,count_match,0
83,4,5,5,0,count_match,0
83,5,2,2,0,count_match,0
83,6,5,5,0,count_match,0
83,7,6,6,0,count_match,0
83,8,4,4,0,count_match,0
83,9,2,2,0,count_match,0
83,10,3,3,0,count_match,0
83,11,4,4,0,count_match,0
83,12,7,7,0,count_match,0
83,13,7,7,0,count_match,0
83,14,8,8,0,count_match,0
83,15,6,6,0,count_match,0
83,16,4,4,0,count_match,0
83,17,7,7,0,count_match,0
83,18,6,6,0,count_match,0
83,19,4,4,0,count_match,0
83,20,2,2,0,count_match,0
83,21,2,2,0,count_match,0
83,22,4,4,0,count_match,0
83,23,3,3,0,count_match,0
83,24,5,5,0,count_match,0
83,25,4,4,0,count_match,0
83,26,6,6,0,count_match,0
83,27,3,3,0,count_match,0
83,28,4,4,0,count_match,0
83,29,8,8,0,count_match,0
83,30,4,4,0,count_match,0
83,31,6,6,0,count_match,0
83,32,6,6,0,count_match,0
83,33,4,4,0,count_match,0
83,34,6,6,0,count_match,0
83,35,3,3,0,count_match,0
83,36,6,6,0,count_match,0
84,1,7,3,4,basmala_offset,4
84,2,3,3,0,count_match,0
84,3,3,3,0,count_match,0
84,4,4,4,0,count_match,0
84,5,3,3,0,count_match,0
84,6,8,8,0,count_match,0
84,7,5,5,0,count_match,0
84,8,4,4,0,count_match,0
84,9,4,4,0,count_match,0
84,10,6,6,0,count_match,0
84,11,3,3,0,count_match,0
84,12,2,2,0,count_match,0
84,13,5,5,0,count_match,0
84,14,5,5,0,count_match,0
84,15,6,6,0,count_match,0
84,16,3,3,0,count_match,0
84,17,3,3,0,count_match,0
84,18,3,3,0,count_match,0
84,19,4,4,0,count_match,0
84,20,4,4,0,count_match,0
84,21,6,6,0,count_match,0
84,22,4,4,0,count_match,0
84,23,4,4,0,count_match,0
84,24,3,3,0,count_match,0
84,25,9,9,0,count_match,0
85,1,7,3,4,basmala_offset,4
85,2,2,2,0,count_match,0
85,3,2,2,0,count_match,0
85,4,3,3,0,count_match,0
85,5,3,3,0,count_match,0
85,6,4,4,0,count_match,0
85,7,6,6,0,count_match,0
85,8,9,9,0,count_match,0
85,9,10,10,0,count_match,0
85,10,14,14,0,count_match,0
85,11,14,14,0,count_match,0
85,12,4,4,0,count_match,0
85,13,4,4,0,count_match,0
85,14,3,3,0,count_match,0
85,15,3,3,0,count_match,0
85,16,3,3,0,count_match,0
85,17,4,4,0,count_match,0
85,18,2,2,0,count_match,0
85,19,5,5,0,count_match,0
85,20,4,4,0,count_match,0
85,21,4,4,0,count_match,0
85,22,3,3,0,count_match,0
86,1,6,2,4,basmala_offset,4
86,2,4,4,0,count_match,0
86,3,2,2,0,count_match,0
86,4,6,6,0,count_match,0
86,5,4,4,0,count_match,0
86,6,4,4,0,count_match,0
86,7,5,5,0,count_match,0
86,8,4,4,0,count_match,0
86,9,3,3,0,count_match,0
86,10,6,6,0,count_match,0
86,11,3,3,0,count_match,0
86,12,3,3,0,count_match,0
86,13,3,3,0,count_match,0
86,14,3,3,0,count_match,0
86,15,3,3,0,count_match,0
86,16,2,2,0,count_match,0
86,17,4,4,0,count_match,0
87,1,8,4,4,basmala_offset,4
87,2,3,3,0,count_match,0
87,3,3,3,0,count_match,0
87,4,3,3,0,count_match,0
87,5,3,3,0,count_match,0
87,6,3,3,0,count_match,0
87,7,9,9,0,count_match,0
87,8,2,2,0,count_match,0
87,9,4,4,0,count_match,0
87,10,3,3,0,count_match,0
87,11,2,2,0,count_match,0
87,12,4,4,0,count_match,0
87,13,6,6,0,count_match,0
87,14,4,4,0,count_match,0
87,15,4,4,0,count_match,0
87,16,4,4,0,count_match,0
87,17,3,3,0,count_match,0
87,18,5,5,0,count_match,0
87,19,3,3,0,count_match,0
88,1,8,4,4,basmala_offset,4
88,2,3,3,0,count_match,0
88,3,2,2,0,count_match,0
88,4,3,3,0,count_match,0
88,5,4,4,0,count_match,0
88,6,6,6,0,count_match,0
88,7,6,6,0,count_match,0
88,8,3,3,0,count_match,0
88,9,2,2,0,count_match,0
88,10,3,3,0,count_match,0
88,11,4,4,0,count_match,0
88,12,3,3,0,count_match,0
88,13,3,3,0,count_match,0
88,14,2,2,0,count_match,0
88,15,2,2,0,count_match,0
88,16,2,2,0,count_match,0
88,17,6,6,0,count_match,0
88,18,4,4,0,count_match,0
88,19,4,4,0,count_match,0
88,20,4,4,0,count_match,0
88,21,4,4,0,count_match,0
88,22,3,3,0,count_match,0
88,23,4,4,0,count_match,0
88,24,4,4,0,count_match,0
88,25,3,3,0,count_match,0
88,26,4,4,0,count_match,0
89,1,5,1,4,basmala_offset,4
89,2,2,2,0,count_match,0
89,3,2,2,0,count_match,0
89,4,3,3,0,count_match,0
89,5,6,6,0,count_match,0
89,6,6,6,0,count_match,0
89,7,3,3,0,count_match,0
89,8,6,6,0,count_match,0
89,9,5,5,0,count_match,0
89,10,3,3,0,count_match,0
89,11,4,4,0,count_match,0
89,12,3,3,0,count_match,0
89,13,5,5,0,count_match,0
89,14,3,3,0,count_match,0
89,15,11,11,0,count_match,0
89,16,10,10,0,count_match,0
89,17,5,5,0,count_match,0
89,18,5,5,0,count_match,0
89,19,4,4,0,count_match,0
89,20,4,4,0,count_match,0
89,21,6,6,0,count_match,0
89,22,5,5,0,count_match,0
89,23,9,9,0,count_match,0
89,24,4,4,0,count_match,0
89,25,5,5,0,count_match,0
89,26,4,4,0,count_match,0
89,27,3,3,0,count_match,0
89,28,5,5,0,count_match,0
89,29,3,3,0,count_match,0
89,30,2,2,0,count_match,0
90,1,8,4,4,basmala_offset,4
90,2,4,4,0,count_match,0
90,3,3,3,0,count_match,0
90,4,5,5,0,count_match,0
90,5,6,6,0,count_match,0
90,6,4,4,0,count_match,0
90,7,5,5,0,count_match,0
90,8,4,4,0,count_match,0
90,9,2,2,0,count_match,0
90,10,2,2,0,count_match,0
90,11,3,3,0,count_match,0
90,12,4,4,0,count_match,0
90,13,2,2,0,count_match,0
90,14,6,6,0,count_match,0
90,15,3,3,0,count_match,0
90,16,4,4,0,count_match,0
90,17,9,9,0,count_match,0
90,18,3,3,0,count_match,0
90,19,6,6,0,count_match,0
90,20,3,3,0,count_match,0
91,1,6,2,4,basmala_offset,4
91,2,3,3,0,count_match,0
91,3,3,3,0,count_match,0
91,4,3,3,0,count_match,0
91,5,3,3,0,count_match,0
91,6,3,3,0,count_match,0
91,7,3,3,0,count_match,0
91,8,3,3,0,count_match,0
91,9,4,4,0,count_match,0
91,10,4,4,0,count_match,0
91,11,3,3,0,count_match,0
91,12,3,3,0,count_match,0
91,13,7,7,0,count_match,0
91,14,7,7,0,count_match,0
91,15,3,3,0,count_match,0
92,1,7,3,4,basmala_offset,4
92,2,3,3,0,count_match,0
92,3,4,4,0,count_match,0
92,4,3,3,0,count_match,0
92,5,4,4,0,count_match,0
92,6,2,2,0,count_match,0
92,7,2,2,0,count_match,0
92,8,4,4,0,count_match,0
92,9,2,2,0,count_match,0
92,10,2,2,0,count_match,0
92,11,6,6,0,count_match,0
92,12,3,3,0,count_match,0
92,13,4,4,0,count_match,0
92,14,3,3,0,count_match,0
92,15,4,4,0,count_match,0
92,16,3,3,0,count_match,0
92,17,2,2,0,count_match,0
92,18,4,4,0,count_match,0
92,19,6,6,0,count_match,0
92,20,5,5,0,count_match,0
92,21,2,2,0,count_match,0
93,1,5,1,4,basmala_offset,4
93,2,3,3,0,count_match,0
93,3,5,5,0,count_match,0
93,4,5,5,0,count_match,0
93,5,4,4,0,count_match,0
93,6,4,4,0,count_match,0
93,7,3,3,0,count_match,0
93,8,3,3,0,count_match,0
93,9,4,4,0,count_match,0
93,10,4,4,0,count_match,0
93,11,4,4,0,count_match,0
94,1,8,4,4,basmala_offset,4
94,2,3,3,0,count_match,0
94,3,3,3,0,count_match,0
94,4,3,3,0,count_match,0
94,5,4,4,0,count_match,0
94,6,4,4,0,count_match,0
94,7,3,3,0,count_match,0
94,8,3,3,0,count_match,0
95,1,6,2,4,basmala_offset,4
95,2,2,2,0,count_match,0
95,3,3,3,0,count_match,0
95,4,6,6,0,count_match,0
95,5,4,4,0,count_match,0
95,6,9,9,0,count_match,0
95,7,4,4,0,count_match,0
95,8,4,4,0,count_match,0
96,1,9,5,4,basmala_offset,4
96,2,4,4,0,count_match,0
96,3,3,3,0,count_match,0
96,4,3,3,0,count_match,0
96,5,5,5,0,count_match,0
96,6,4,4,0,count_match,0
96,7,3,3,0,count_match,0
96,8,4,4,0,count_match,0
96,9,3,3,0,count_match,0
96,10,3,3,0,count_match,0
96,11,5,5,0,count_match,0
96,12,3,3,0,count_match,0
96,13,4,4,0,count_match,0
96,14,5,5,0,count_match,0
96,15,6,6,0,count_match,0
96,16,3,3,0,count_match,0
96,17,2,2,0,count_match,0
96,18,2,2,0,count_match,0
96,19,5,5,0,count_match,0
97,1,9,5,4,basmala_offset,4
97,2,5,5,0,count_match,0
97,3,6,6,0,count_match,0
97,4,9,9,0,count_match,0
97,5,5,5,0,count_match,0
98,1,16,12,4,basmala_offset,4
98,2,6,6,0,count_match,0
98,3,3,3,0,count_match,0
98,4,11,11,0,count_match,0
98,5,16,16,0,count_match,0
98,6,16,16,0,count_match,0
98,7,9,9,0,count_match,0
98,8,21,21,0,count_match,0
99,1,8,4,4,basmala_offset,4
99,2,3,3,0,count_match,0
99,3,4,4,0,count_match,0
99,4,3,3,0,count_match,0
99,5,4,4,0,count_match,0
99,6,6,6,0,count_match,0
99,7,6,6,0,count_match,0
99,8,6,6,0,count_match,0
100,1,6,2,4,basmala_offset,4
100,2,2,2,0,count_match,0
100,3,2,2,0,count_match,0
100,4,3,3,0,count_match,0
100,5,3,3,0,count_match,0
100,6,4,4,0,count_match,0
100,7,4,4,0,count_match,0
100,8,4,4,0,count_match,0
100,9,7,7,0,count_match,0
100,10,4,4,0,count_match,0
100,11,5,5,0,count_match,0
101,1,5,1,4,basmala_offset,4
101,2,2,2,0,count_match,0
101,3,4,4,0,count_match,0
101,4,5,5,0,count_match,0
101,5,4,4,0,count_match,0
101,6,4,4,0,count_match,0
101,7,4,4,0,count_match,0
101,8,4,4,0,count_match,0
101,9,2,2,0,count_match,0
101,10,4,4,0,count_match,0
101,11,2,2,0,count_match,0
102,1,6,2,4,basmala_offset,4
102,2,3,3,0,count_match,0
102,3,3,3,0,count_match,0
102,4,4,4,0,count_match,0
102,5,5,5,0,count_match,0
102,6,2,2,0,count_match,0
102,7,4,4,0,count_match,0
102,8,5,5,0,count_match,0
103,1,5,1,4,basmala_offset,4
103,2,4,4,0,count_match,0
103,3,9,9,0,count_match,0
104,1,8,4,4,basmala_offset,4
104,2,4,4,0,count_match,0
104,3,4,4,0,count_match,0
104,4,4,4,0,count_match,0
104,5,4,4,0,count_match,0
104,6,3,3,0,count_match,0
104,7,4,4,0,count_match,0
104,8,3,3,0,count_match,0
104,9,3,3,0,count_match,0
105,1,11,7,4,basmala_offset,4
105,2,5,5,0,count_match,0
105,3,4,4,0,count_match,0
105,4,4,4,0,count_match,0
105,5,3,3,0,count_match,0
106,1,6,2,4,basmala_offset,4
106,2,4,4,0,count_match,0
106,3,4,4,0,count_match,0
106,4,7,7,0,count_match,0
107,1,8,4,4,basmala_offset,4
107,2,4,4,0,count_match,0
107,3,5,5,0,count_match,0
107,4,2,2,0,count_match,0
107,5,5,5,0,count_match,0
107,6,3,3,0,count_match,0
107,7,2,2,0,count_match,0
108,1,7,3,4,basmala_offset,4
