category,count
explicit_allah,64
pronominal_unresolved,37
relative_or_clause_head,15
explicit_afterlife,13
explicit_other_lexical,11
explicit_ayah,9
explicit_rabb,9
explicit_messenger,2
explicit_book,1
explicit_day,1
explicit_unseen,1
